
4,4,190,78,0,0,{UP=65@RIGHT=2147483647@DOWN=137@LEFT=102@NEUTRAL=2147483647},66,DOWN,{UP=63@RIGHT=2147483647@DOWN=135@LEFT=100@NEUTRAL=2147483647},{UP=103@RIGHT=2147483647@DOWN=140@LEFT=92@NEUTRAL=2147483647},42,DOWN,{UP=2147483647@RIGHT=2147483647@DOWN=2147483647@LEFT=2147483647@NEUTRAL=2147483647},2147483647,NEUTRAL,,4,UP,,4,-1753
6,6,220,90,0,0,{UP=2147483647@RIGHT=41@DOWN=2147483647@LEFT=65@NEUTRAL=2147483647},42,LEFT,{UP=2147483647@RIGHT=39@DOWN=2147483647@LEFT=63@NEUTRAL=2147483647},{UP=2147483647@RIGHT=79@DOWN=2147483647@LEFT=55@NEUTRAL=2147483647},66,LEFT,{UP=2147483647@RIGHT=2147483647@DOWN=2147483647@LEFT=2147483647@NEUTRAL=2147483647},2147483647,NEUTRAL,,6,RIGHT,,6,-2010
5,5,200,80,0,0,{UP=2147483647@RIGHT=69@DOWN=2147483647@LEFT=81@NEUTRAL=2147483647},70,RIGHT,{UP=2147483647@RIGHT=69@DOWN=2147483647@LEFT=81@NEUTRAL=2147483647},{UP=2147483647@RIGHT=85@DOWN=2147483647@LEFT=110@NEUTRAL=2147483647},40,RIGHT,{UP=2147483647@RIGHT=2147483647@DOWN=2147483647@LEFT=2147483647@NEUTRAL=2147483647},2147483647,NEUTRAL,,5,RIGHT,,5,-2408
8,8,240,98,0,0,{UP=45@RIGHT=93@DOWN=129@LEFT=2147483647@NEUTRAL=2147483647},82,LEFT,{UP=51@RIGHT=99@DOWN=123@LEFT=2147483647@NEUTRAL=2147483647},{UP=103@RIGHT=92@DOWN=140@LEFT=2147483647@NEUTRAL=2147483647},58,LEFT,{UP=2147483647@RIGHT=2147483647@DOWN=2147483647@LEFT=2147483647@NEUTRAL=2147483647},2147483647,NEUTRAL,,8,DOWN,,8,-4490
12,12,280,118,0,0,{UP=2147483647@RIGHT=85@DOWN=2147483647@LEFT=13@NEUTRAL=2147483647},66,LEFT,{UP=2147483647@RIGHT=95@DOWN=2147483647@LEFT=23@NEUTRAL=2147483647},{UP=2147483647@RIGHT=120@DOWN=2147483647@LEFT=51@NEUTRAL=2147483647},38,LEFT,{UP=2147483647@RIGHT=2147483647@DOWN=2147483647@LEFT=2147483647@NEUTRAL=2147483647},2147483647,NEUTRAL,,12,RIGHT,,12,-4153
11,11,270,110,0,0,{UP=2147483647@RIGHT=141@DOWN=117@LEFT=2147483647@NEUTRAL=2147483647},106,LEFT,{UP=2147483647@RIGHT=136@DOWN=123@LEFT=2147483647@NEUTRAL=2147483647},{UP=2147483647@RIGHT=128@DOWN=139@LEFT=2147483647@NEUTRAL=2147483647},46,LEFT,{UP=2147483647@RIGHT=2147483647@DOWN=2147483647@LEFT=2147483647@NEUTRAL=2147483647},2147483647,NEUTRAL,,11,DOWN,,11,-4052
20,20,390,156,0,199,{UP=2147483647@RIGHT=84@DOWN=119@LEFT=87@NEUTRAL=2147483647},96,UP,{UP=2147483647@RIGHT=80@DOWN=91@LEFT=59@NEUTRAL=2147483647},{UP=2147483647@RIGHT=27@DOWN=107@LEFT=107@NEUTRAL=2147483647},121,UP,{UP=2147483647@RIGHT=63@DOWN=79@LEFT=79@NEUTRAL=2147483647},96,UP,,20,RIGHT,,20,-7293
10,10,270,110,0,0,{UP=2147483647@RIGHT=93@DOWN=86@LEFT=2147483647@NEUTRAL=2147483647},87,LEFT,{UP=2147483647@RIGHT=99@DOWN=80@LEFT=2147483647@NEUTRAL=2147483647},{UP=2147483647@RIGHT=136@DOWN=72@LEFT=2147483647@NEUTRAL=2147483647},46,LEFT,{UP=2147483647@RIGHT=2147483647@DOWN=2147483647@LEFT=2147483647@NEUTRAL=2147483647},2147483647,NEUTRAL,,10,RIGHT,,10,-8702
23,23,730,271,0,0,{UP=2147483647@RIGHT=62@DOWN=2147483647@LEFT=56@NEUTRAL=2147483647},63,RIGHT,{UP=2147483647@RIGHT=53@DOWN=2147483647@LEFT=65@NEUTRAL=2147483647},{UP=2147483647@RIGHT=113@DOWN=2147483647@LEFT=138@NEUTRAL=2147483647},93,RIGHT,{UP=2147483647@RIGHT=55@DOWN=2147483647@LEFT=80@NEUTRAL=2147483647},83,RIGHT,,23,RIGHT,,23,-4718
21,21,730,244,0,111,{UP=2147483647@RIGHT=2147483647@DOWN=88@LEFT=99@NEUTRAL=2147483647},113,LEFT,{UP=2147483647@RIGHT=2147483647@DOWN=88@LEFT=99@NEUTRAL=2147483647},{UP=2147483647@RIGHT=2147483647@DOWN=124@LEFT=172@NEUTRAL=2147483647},84,LEFT,{UP=2147483647@RIGHT=2147483647@DOWN=103@LEFT=63@NEUTRAL=2147483647},113,LEFT,,21,DOWN,,21,-5149
26,26,730,289,0,0,{UP=148@RIGHT=98@DOWN=44@LEFT=2147483647@NEUTRAL=2147483647},99,DOWN,{UP=139@RIGHT=83@DOWN=59@LEFT=2147483647@NEUTRAL=2147483647},{UP=151@RIGHT=95@DOWN=95@LEFT=2147483647@NEUTRAL=2147483647},75,DOWN,{UP=116@RIGHT=60@DOWN=60@LEFT=2147483647@NEUTRAL=2147483647},38,DOWN,,26,DOWN,,26,-5236
22,22,450,180,0,175,{UP=2147483647@RIGHT=123@DOWN=80@LEFT=2147483647@NEUTRAL=2147483647},81,DOWN,{UP=2147483647@RIGHT=111@DOWN=68@LEFT=2147483647@NEUTRAL=2147483647},{UP=2147483647@RIGHT=15@DOWN=119@LEFT=2147483647@NEUTRAL=2147483647},97,DOWN,{UP=2147483647@RIGHT=127@DOWN=84@LEFT=2147483647@NEUTRAL=2147483647},28,DOWN,,22,RIGHT,,22,-7638
